Hauteur=100.000000, Largeur=200.000000, Population=100, Prop initiale=0.100000, Periode=150

Heure=150: Sains=93, Malades=7, Morts=0, Moy deplacement=0.786, Moy infection=0.028, Moy mort=0.065 

Heure=300: Sains=28, Malades=72, Morts=0, Moy deplacement=0.687, Moy infection=0.288, Moy mort=0.065 

Heure=450: Sains=1, Malades=98, Morts=1, Moy deplacement=0.191, Moy infection=0.396, Moy mort=0.059 

Heure=600: Sains=13, Malades=83, Morts=4, Moy deplacement=0.228, Moy infection=0.302, Moy mort=0.049 

Heure=750: Sains=23, Malades=71, Morts=6, Moy deplacement=0.323, Moy infection=0.151, Moy mort=0.040 

Heure=900: Sains=5, Malades=89, Morts=6, Moy deplacement=0.274, Moy infection=0.187, Moy mort=0.040 

Heure=1050: Sains=19, Malades=70, Morts=11, Moy deplacement=0.265, Moy infection=0.139, Moy mort=0.029 

Heure=1200: Sains=26, Malades=61, Morts=13, Moy deplacement=0.229, Moy infection=0.097, Moy mort=0.029 

Heure=1350: Sains=19, Malades=67, Morts=14, Moy deplacement=0.234, Moy infection=0.102, Moy mort=0.028 

Heure=1500: Sains=19, Malades=67, Morts=14, Moy deplacement=0.252, Moy infection=0.095, Moy mort=0.028 

Heure=1650: Sains=25, Malades=59, Morts=16, Moy deplacement=0.288, Moy infection=0.075, Moy mort=0.020 

Heure=1800: Sains=25, Malades=58, Morts=17, Moy deplacement=0.281, Moy infection=0.071, Moy mort=0.018 

Heure=1950: Sains=25, Malades=57, Morts=18, Moy deplacement=0.288, Moy infection=0.065, Moy mort=0.018 

Heure=2100: Sains=33, Malades=49, Morts=18, Moy deplacement=0.271, Moy infection=0.052, Moy mort=0.018 

Heure=2250: Sains=24, Malades=57, Morts=19, Moy deplacement=0.320, Moy infection=0.058, Moy mort=0.016 

Heure=2400: Sains=30, Malades=51, Morts=19, Moy deplacement=0.296, Moy infection=0.049, Moy mort=0.016 

Heure=2550: Sains=28, Malades=52, Morts=20, Moy deplacement=0.267, Moy infection=0.049, Moy mort=0.016 

Heure=2700: Sains=31, Malades=49, Morts=20, Moy deplacement=0.241, Moy infection=0.044, Moy mort=0.016 

Heure=2850: Sains=35, Malades=44, Morts=21, Moy deplacement=0.243, Moy infection=0.037, Moy mort=0.014 

Heure=3000: Sains=38, Malades=41, Morts=21, Moy deplacement=0.262, Moy infection=0.034, Moy mort=0.014 

Heure=3150: Sains=30, Malades=49, Morts=21, Moy deplacement=0.330, Moy infection=0.039, Moy mort=0.014 

Heure=3300: Sains=31, Malades=48, Morts=21, Moy deplacement=0.289, Moy infection=0.036, Moy mort=0.014 

Heure=3450: Sains=36, Malades=43, Morts=21, Moy deplacement=0.306, Moy infection=0.032, Moy mort=0.014 

Heure=3600: Sains=41, Malades=38, Morts=21, Moy deplacement=0.264, Moy infection=0.027, Moy mort=0.014 

Heure=3750: Sains=46, Malades=33, Morts=21, Moy deplacement=0.220, Moy infection=0.023, Moy mort=0.014 

Heure=3900: Sains=54, Malades=25, Morts=21, Moy deplacement=0.248, Moy infection=0.017, Moy mort=0.014 

Heure=4050: Sains=47, Malades=31, Morts=22, Moy deplacement=0.266, Moy infection=0.021, Moy mort=0.013 

Heure=4200: Sains=42, Malades=36, Morts=22, Moy deplacement=0.223, Moy infection=0.024, Moy mort=0.013 

Heure=4350: Sains=41, Malades=36, Morts=23, Moy deplacement=0.189, Moy infection=0.024, Moy mort=0.012 

Heure=4500: Sains=44, Malades=33, Morts=23, Moy deplacement=0.211, Moy infection=0.021, Moy mort=0.012 

Heure=4650: Sains=41, Malades=35, Morts=24, Moy deplacement=0.181, Moy infection=0.022, Moy mort=0.012 

Heure=4800: Sains=39, Malades=37, Morts=24, Moy deplacement=0.163, Moy infection=0.023, Moy mort=0.012 

Heure=4950: Sains=43, Malades=33, Morts=24, Moy deplacement=0.229, Moy infection=0.019, Moy mort=0.012 

Heure=5100: Sains=48, Malades=28, Morts=24, Moy deplacement=0.188, Moy infection=0.017, Moy mort=0.012 

Heure=5250: Sains=48, Malades=28, Morts=24, Moy deplacement=0.299, Moy infection=0.017, Moy mort=0.012 

Heure=5400: Sains=43, Malades=33, Morts=24, Moy deplacement=0.249, Moy infection=0.019, Moy mort=0.012 

Heure=5550: Sains=39, Malades=37, Morts=24, Moy deplacement=0.291, Moy infection=0.021, Moy mort=0.012 

Heure=5700: Sains=43, Malades=32, Morts=25, Moy deplacement=0.267, Moy infection=0.018, Moy mort=0.011 

Heure=5850: Sains=41, Malades=34, Morts=25, Moy deplacement=0.206, Moy infection=0.018, Moy mort=0.011 

Heure=6000: Sains=42, Malades=33, Morts=25, Moy deplacement=0.200, Moy infection=0.017, Moy mort=0.011 

Heure=6150: Sains=45, Malades=30, Morts=25, Moy deplacement=0.224, Moy infection=0.016, Moy mort=0.011 

Heure=6300: Sains=58, Malades=17, Morts=25, Moy deplacement=0.292, Moy infection=0.009, Moy mort=0.011 

Heure=6450: Sains=61, Malades=14, Morts=25, Moy deplacement=0.325, Moy infection=0.008, Moy mort=0.011 

Heure=6600: Sains=64, Malades=11, Morts=25, Moy deplacement=0.253, Moy infection=0.006, Moy mort=0.011 

Heure=6750: Sains=61, Malades=14, Morts=25, Moy deplacement=0.201, Moy infection=0.007, Moy mort=0.011 

Heure=6900: Sains=65, Malades=10, Morts=25, Moy deplacement=0.229, Moy infection=0.005, Moy mort=0.011 

Heure=7050: Sains=66, Malades=9, Morts=25, Moy deplacement=0.271, Moy infection=0.004, Moy mort=0.011 

Heure=7200: Sains=64, Malades=11, Morts=25, Moy deplacement=0.258, Moy infection=0.005, Moy mort=0.011 

Heure=7350: Sains=66, Malades=9, Morts=25, Moy deplacement=0.262, Moy infection=0.004, Moy mort=0.011 

Heure=7500: Sains=71, Malades=4, Morts=25, Moy deplacement=0.309, Moy infection=0.002, Moy mort=0.011 

Heure=7650: Sains=70, Malades=5, Morts=25, Moy deplacement=0.278, Moy infection=0.002, Moy mort=0.011 

Heure=7800: Sains=67, Malades=8, Morts=25, Moy deplacement=0.220, Moy infection=0.004, Moy mort=0.011 

Heure=7950: Sains=64, Malades=11, Morts=25, Moy deplacement=0.243, Moy infection=0.005, Moy mort=0.011 

Heure=8100: Sains=67, Malades=8, Morts=25, Moy deplacement=0.257, Moy infection=0.004, Moy mort=0.011 

Heure=8250: Sains=67, Malades=8, Morts=25, Moy deplacement=0.305, Moy infection=0.004, Moy mort=0.011 

Heure=8400: Sains=62, Malades=13, Morts=25, Moy deplacement=0.209, Moy infection=0.006, Moy mort=0.011 

Heure=8550: Sains=65, Malades=10, Morts=25, Moy deplacement=0.265, Moy infection=0.005, Moy mort=0.011 

Heure=8700: Sains=63, Malades=12, Morts=25, Moy deplacement=0.235, Moy infection=0.006, Moy mort=0.011 

Heure=8850: Sains=63, Malades=12, Morts=25, Moy deplacement=0.232, Moy infection=0.006, Moy mort=0.011 

