Hauteur=100.000000, Largeur=100.000000, Population=300, Prop initiale=0.850000, Periode=150

Heure=150: Sains=208, Malades=92, Morts=0, Moy deplacement=0.605, Moy infection=0.123, Moy mort=0.057, Prop confinement=0.300

Heure=300: Sains=0, Malades=300, Morts=0, Moy deplacement=0.663, Moy infection=0.400, Moy mort=0.057, Prop confinement=0.300

Heure=450: Sains=2, Malades=297, Morts=1, Moy deplacement=0.659, Moy infection=0.389, Moy mort=0.057, Prop confinement=0.300

Heure=600: Sains=10, Malades=272, Morts=18, Moy deplacement=0.686, Moy infection=0.194, Moy mort=0.037, Prop confinement=0.300

Heure=750: Sains=0, Malades=282, Morts=18, Moy deplacement=0.681, Moy infection=0.200, Moy mort=0.037, Prop confinement=0.300

Heure=900: Sains=39, Malades=236, Morts=25, Moy deplacement=0.676, Moy infection=0.145, Moy mort=0.029, Prop confinement=0.300

Heure=1050: Sains=1, Malades=267, Morts=32, Moy deplacement=0.642, Moy infection=0.133, Moy mort=0.023, Prop confinement=0.300

Heure=1200: Sains=7, Malades=261, Morts=32, Moy deplacement=0.639, Moy infection=0.128, Moy mort=0.023, Prop confinement=0.300

Heure=1350: Sains=39, Malades=227, Morts=34, Moy deplacement=0.672, Moy infection=0.087, Moy mort=0.022, Prop confinement=0.300

Heure=1500: Sains=0, Malades=265, Morts=35, Moy deplacement=0.658, Moy infection=0.100, Moy mort=0.022, Prop confinement=0.300

Heure=1650: Sains=44, Malades=219, Morts=37, Moy deplacement=0.631, Moy infection=0.078, Moy mort=0.022, Prop confinement=0.300

Heure=1800: Sains=20, Malades=243, Morts=37, Moy deplacement=0.620, Moy infection=0.074, Moy mort=0.022, Prop confinement=0.300

Heure=1950: Sains=10, Malades=253, Morts=37, Moy deplacement=0.600, Moy infection=0.076, Moy mort=0.022, Prop confinement=0.300

Heure=2100: Sains=46, Malades=213, Morts=41, Moy deplacement=0.614, Moy infection=0.059, Moy mort=0.018, Prop confinement=0.300

Heure=2250: Sains=9, Malades=247, Morts=44, Moy deplacement=0.625, Moy infection=0.064, Moy mort=0.017, Prop confinement=0.300

Heure=2400: Sains=25, Malades=230, Morts=45, Moy deplacement=0.629, Moy infection=0.059, Moy mort=0.016, Prop confinement=0.300

Heure=2550: Sains=47, Malades=205, Morts=48, Moy deplacement=0.657, Moy infection=0.048, Moy mort=0.015, Prop confinement=0.300

Heure=2700: Sains=10, Malades=241, Morts=49, Moy deplacement=0.667, Moy infection=0.055, Moy mort=0.014, Prop confinement=0.300

Heure=2850: Sains=35, Malades=214, Morts=51, Moy deplacement=0.650, Moy infection=0.047, Moy mort=0.014, Prop confinement=0.300

Heure=3000: Sains=50, Malades=196, Morts=54, Moy deplacement=0.654, Moy infection=0.041, Moy mort=0.013, Prop confinement=0.300

Heure=3150: Sains=28, Malades=217, Morts=55, Moy deplacement=0.659, Moy infection=0.044, Moy mort=0.013, Prop confinement=0.300

Heure=3300: Sains=40, Malades=205, Morts=55, Moy deplacement=0.651, Moy infection=0.040, Moy mort=0.013, Prop confinement=0.300

Heure=3450: Sains=45, Malades=199, Morts=56, Moy deplacement=0.651, Moy infection=0.037, Moy mort=0.013, Prop confinement=0.300

Heure=3600: Sains=39, Malades=202, Morts=59, Moy deplacement=0.640, Moy infection=0.037, Moy mort=0.012, Prop confinement=0.300

Heure=3750: Sains=45, Malades=196, Morts=59, Moy deplacement=0.635, Moy infection=0.034, Moy mort=0.012, Prop confinement=0.300

Heure=3900: Sains=48, Malades=190, Morts=62, Moy deplacement=0.660, Moy infection=0.032, Moy mort=0.012, Prop confinement=0.300

Heure=4050: Sains=41, Malades=196, Morts=63, Moy deplacement=0.637, Moy infection=0.032, Moy mort=0.012, Prop confinement=0.300

Heure=4200: Sains=33, Malades=203, Morts=64, Moy deplacement=0.662, Moy infection=0.033, Moy mort=0.011, Prop confinement=0.300

Heure=4350: Sains=57, Malades=178, Morts=65, Moy deplacement=0.629, Moy infection=0.028, Moy mort=0.011, Prop confinement=0.300

Heure=4500: Sains=58, Malades=177, Morts=65, Moy deplacement=0.670, Moy infection=0.027, Moy mort=0.011, Prop confinement=0.300

Heure=4650: Sains=37, Malades=198, Morts=65, Moy deplacement=0.655, Moy infection=0.029, Moy mort=0.011, Prop confinement=0.300

Heure=4800: Sains=47, Malades=187, Morts=66, Moy deplacement=0.659, Moy infection=0.027, Moy mort=0.011, Prop confinement=0.300

Heure=4950: Sains=56, Malades=176, Morts=68, Moy deplacement=0.624, Moy infection=0.025, Moy mort=0.010, Prop confinement=0.300

Heure=5100: Sains=49, Malades=183, Morts=68, Moy deplacement=0.670, Moy infection=0.025, Moy mort=0.010, Prop confinement=0.300

Heure=5250: Sains=61, Malades=170, Morts=69, Moy deplacement=0.638, Moy infection=0.023, Moy mort=0.010, Prop confinement=0.300

Heure=5400: Sains=68, Malades=161, Morts=71, Moy deplacement=0.636, Moy infection=0.021, Moy mort=0.010, Prop confinement=0.300

Heure=5550: Sains=59, Malades=169, Morts=72, Moy deplacement=0.637, Moy infection=0.022, Moy mort=0.009, Prop confinement=0.300

Heure=5700: Sains=52, Malades=175, Morts=73, Moy deplacement=0.637, Moy infection=0.022, Moy mort=0.009, Prop confinement=0.300

Heure=5850: Sains=61, Malades=165, Morts=74, Moy deplacement=0.646, Moy infection=0.021, Moy mort=0.009, Prop confinement=0.300

Heure=6000: Sains=76, Malades=150, Morts=74, Moy deplacement=0.640, Moy infection=0.019, Moy mort=0.009, Prop confinement=0.300

Heure=6150: Sains=54, Malades=171, Morts=75, Moy deplacement=0.651, Moy infection=0.021, Moy mort=0.009, Prop confinement=0.300

Heure=6300: Sains=53, Malades=171, Morts=76, Moy deplacement=0.620, Moy infection=0.020, Moy mort=0.008, Prop confinement=0.300

Heure=6450: Sains=82, Malades=142, Morts=76, Moy deplacement=0.619, Moy infection=0.017, Moy mort=0.008, Prop confinement=0.300

Heure=6600: Sains=75, Malades=149, Morts=76, Moy deplacement=0.622, Moy infection=0.017, Moy mort=0.008, Prop confinement=0.300

Heure=6750: Sains=64, Malades=159, Morts=77, Moy deplacement=0.686, Moy infection=0.018, Moy mort=0.008, Prop confinement=0.300

Heure=6900: Sains=80, Malades=142, Morts=78, Moy deplacement=0.688, Moy infection=0.016, Moy mort=0.008, Prop confinement=0.300

Heure=7050: Sains=73, Malades=148, Morts=79, Moy deplacement=0.686, Moy infection=0.016, Moy mort=0.008, Prop confinement=0.300

Heure=7200: Sains=63, Malades=158, Morts=79, Moy deplacement=0.633, Moy infection=0.017, Moy mort=0.008, Prop confinement=0.300

Heure=7350: Sains=69, Malades=152, Morts=79, Moy deplacement=0.658, Moy infection=0.016, Moy mort=0.008, Prop confinement=0.300

Heure=7500: Sains=91, Malades=130, Morts=79, Moy deplacement=0.642, Moy infection=0.014, Moy mort=0.008, Prop confinement=0.300

Heure=7650: Sains=86, Malades=133, Morts=81, Moy deplacement=0.661, Moy infection=0.014, Moy mort=0.008, Prop confinement=0.300

Heure=7800: Sains=90, Malades=129, Morts=81, Moy deplacement=0.625, Moy infection=0.013, Moy mort=0.008, Prop confinement=0.300

Heure=7950: Sains=88, Malades=131, Morts=81, Moy deplacement=0.635, Moy infection=0.013, Moy mort=0.008, Prop confinement=0.300

Heure=8100: Sains=95, Malades=124, Morts=81, Moy deplacement=0.630, Moy infection=0.012, Moy mort=0.008, Prop confinement=0.300

Heure=8250: Sains=93, Malades=126, Morts=81, Moy deplacement=0.626, Moy infection=0.013, Moy mort=0.008, Prop confinement=0.300

Heure=8400: Sains=90, Malades=129, Morts=81, Moy deplacement=0.629, Moy infection=0.013, Moy mort=0.008, Prop confinement=0.300

Heure=8550: Sains=88, Malades=131, Morts=81, Moy deplacement=0.668, Moy infection=0.013, Moy mort=0.008, Prop confinement=0.300

Heure=8700: Sains=92, Malades=126, Morts=82, Moy deplacement=0.666, Moy infection=0.012, Moy mort=0.008, Prop confinement=0.300

Heure=8850: Sains=87, Malades=130, Morts=83, Moy deplacement=0.639, Moy infection=0.012, Moy mort=0.007, Prop confinement=0.300

Heure=9000: Sains=97, Malades=119, Morts=84, Moy deplacement=0.644, Moy infection=0.011, Moy mort=0.007, Prop confinement=0.300

Heure=9150: Sains=84, Malades=132, Morts=84, Moy deplacement=0.640, Moy infection=0.012, Moy mort=0.007, Prop confinement=0.300

Heure=9300: Sains=75, Malades=141, Morts=84, Moy deplacement=0.601, Moy infection=0.013, Moy mort=0.007, Prop confinement=0.300

Heure=9450: Sains=87, Malades=129, Morts=84, Moy deplacement=0.603, Moy infection=0.012, Moy mort=0.007, Prop confinement=0.300

Heure=9600: Sains=92, Malades=124, Morts=84, Moy deplacement=0.600, Moy infection=0.011, Moy mort=0.007, Prop confinement=0.300

Heure=9750: Sains=83, Malades=132, Morts=85, Moy deplacement=0.579, Moy infection=0.012, Moy mort=0.007, Prop confinement=0.300

Heure=9900: Sains=82, Malades=132, Morts=86, Moy deplacement=0.627, Moy infection=0.012, Moy mort=0.007, Prop confinement=0.300

Heure=10050: Sains=97, Malades=116, Morts=87, Moy deplacement=0.628, Moy infection=0.010, Moy mort=0.007, Prop confinement=0.300

Heure=10200: Sains=107, Malades=106, Morts=87, Moy deplacement=0.649, Moy infection=0.009, Moy mort=0.007, Prop confinement=0.300

Heure=10350: Sains=112, Malades=101, Morts=87, Moy deplacement=0.671, Moy infection=0.009, Moy mort=0.007, Prop confinement=0.300

Heure=10500: Sains=97, Malades=116, Morts=87, Moy deplacement=0.662, Moy infection=0.010, Moy mort=0.007, Prop confinement=0.300

Heure=10650: Sains=89, Malades=124, Morts=87, Moy deplacement=0.681, Moy infection=0.010, Moy mort=0.007, Prop confinement=0.300

Heure=10800: Sains=91, Malades=122, Morts=87, Moy deplacement=0.647, Moy infection=0.010, Moy mort=0.007, Prop confinement=0.300

Heure=10950: Sains=91, Malades=120, Morts=89, Moy deplacement=0.666, Moy infection=0.010, Moy mort=0.006, Prop confinement=0.300

Heure=11100: Sains=105, Malades=105, Morts=90, Moy deplacement=0.649, Moy infection=0.009, Moy mort=0.006, Prop confinement=0.300

Heure=11250: Sains=97, Malades=113, Morts=90, Moy deplacement=0.613, Moy infection=0.009, Moy mort=0.006, Prop confinement=0.300

Heure=11400: Sains=95, Malades=115, Morts=90, Moy deplacement=0.609, Moy infection=0.009, Moy mort=0.006, Prop confinement=0.300

