Hauteur=100.000000, Largeur=200.000000, Population=100, Prop initiale=0.500000, Periode=150

Heure=150: Sains=88, Malades=12, Morts=0, Moy deplacement=0.583, Moy infection=0.048, Moy mort=0.051, Prop confinement=0.300

Heure=300: Sains=15, Malades=85, Morts=0, Moy deplacement=0.680, Moy infection=0.340, Moy mort=0.051, Prop confinement=0.300

Heure=450: Sains=0, Malades=100, Morts=0, Moy deplacement=0.656, Moy infection=0.392, Moy mort=0.051, Prop confinement=0.300

Heure=600: Sains=20, Malades=79, Morts=1, Moy deplacement=0.657, Moy infection=0.265, Moy mort=0.051, Prop confinement=0.300

Heure=750: Sains=7, Malades=89, Morts=4, Moy deplacement=0.626, Moy infection=0.185, Moy mort=0.029, Prop confinement=0.300

Heure=900: Sains=4, Malades=92, Morts=4, Moy deplacement=0.647, Moy infection=0.186, Moy mort=0.029, Prop confinement=0.300

Heure=1050: Sains=19, Malades=76, Morts=5, Moy deplacement=0.705, Moy infection=0.124, Moy mort=0.029, Prop confinement=0.300

Heure=1200: Sains=6, Malades=87, Morts=7, Moy deplacement=0.698, Moy infection=0.124, Moy mort=0.026, Prop confinement=0.300

Heure=1350: Sains=17, Malades=76, Morts=7, Moy deplacement=0.633, Moy infection=0.104, Moy mort=0.026, Prop confinement=0.300

Heure=1500: Sains=21, Malades=70, Morts=9, Moy deplacement=0.640, Moy infection=0.085, Moy mort=0.022, Prop confinement=0.300

Heure=1650: Sains=18, Malades=73, Morts=9, Moy deplacement=0.600, Moy infection=0.080, Moy mort=0.022, Prop confinement=0.300

Heure=1800: Sains=19, Malades=71, Morts=10, Moy deplacement=0.625, Moy infection=0.075, Moy mort=0.021, Prop confinement=0.300

Heure=1950: Sains=20, Malades=69, Morts=11, Moy deplacement=0.580, Moy infection=0.068, Moy mort=0.019, Prop confinement=0.300

Heure=2100: Sains=23, Malades=66, Morts=11, Moy deplacement=0.606, Moy infection=0.060, Moy mort=0.019, Prop confinement=0.300

Heure=2250: Sains=27, Malades=62, Morts=11, Moy deplacement=0.648, Moy infection=0.054, Moy mort=0.019, Prop confinement=0.300

Heure=2400: Sains=25, Malades=64, Morts=11, Moy deplacement=0.641, Moy infection=0.053, Moy mort=0.019, Prop confinement=0.300

Heure=2550: Sains=27, Malades=62, Morts=11, Moy deplacement=0.642, Moy infection=0.049, Moy mort=0.019, Prop confinement=0.300

Heure=2700: Sains=35, Malades=54, Morts=11, Moy deplacement=0.688, Moy infection=0.040, Moy mort=0.019, Prop confinement=0.300

Heure=2850: Sains=35, Malades=53, Morts=12, Moy deplacement=0.674, Moy infection=0.038, Moy mort=0.018, Prop confinement=0.300

Heure=3000: Sains=35, Malades=53, Morts=12, Moy deplacement=0.617, Moy infection=0.036, Moy mort=0.018, Prop confinement=0.300

Heure=3150: Sains=31, Malades=57, Morts=12, Moy deplacement=0.656, Moy infection=0.038, Moy mort=0.018, Prop confinement=0.300

Heure=3300: Sains=27, Malades=61, Morts=12, Moy deplacement=0.694, Moy infection=0.039, Moy mort=0.018, Prop confinement=0.300

Heure=3450: Sains=29, Malades=59, Morts=12, Moy deplacement=0.707, Moy infection=0.036, Moy mort=0.018, Prop confinement=0.300

