Hauteur=1000.000000, Largeur=1000.000000, Population=3000, Prop initiale=0.250000, Periode=150

Heure=150: Sains=2994, Malades=6, Morts=0, Moy deplacement=0.873, Moy infection=0.001, Moy mort=0.061, Prop confinement=0.000

Heure=300: Sains=2946, Malades=54, Morts=0, Moy deplacement=0.490, Moy infection=0.007, Moy mort=0.061, Prop confinement=0.500

Heure=450: Sains=2751, Malades=249, Morts=0, Moy deplacement=0.249, Moy infection=0.033, Moy mort=0.061, Prop confinement=0.800

Heure=600: Sains=2452, Malades=547, Morts=1, Moy deplacement=0.099, Moy infection=0.073, Moy mort=0.061, Prop confinement=1.000

Heure=750: Sains=2070, Malades=923, Morts=7, Moy deplacement=0.098, Moy infection=0.122, Moy mort=0.060, Prop confinement=1.000

Heure=900: Sains=1716, Malades=1254, Morts=30, Moy deplacement=0.100, Moy infection=0.162, Moy mort=0.057, Prop confinement=1.000

Heure=1050: Sains=1346, Malades=1595, Morts=59, Moy deplacement=0.099, Moy infection=0.195, Moy mort=0.052, Prop confinement=1.000

Heure=1200: Sains=1267, Malades=1645, Morts=88, Moy deplacement=0.100, Moy infection=0.187, Moy mort=0.049, Prop confinement=1.000

Heure=1350: Sains=1238, Malades=1634, Morts=128, Moy deplacement=0.099, Moy infection=0.165, Moy mort=0.044, Prop confinement=1.000

Heure=1500: Sains=1264, Malades=1572, Morts=164, Moy deplacement=0.100, Moy infection=0.141, Moy mort=0.039, Prop confinement=1.000

Heure=1650: Sains=1400, Malades=1403, Morts=197, Moy deplacement=0.099, Moy infection=0.111, Moy mort=0.036, Prop confinement=1.000

Heure=1800: Sains=1469, Malades=1312, Morts=219, Moy deplacement=0.099, Moy infection=0.093, Moy mort=0.032, Prop confinement=1.000

Heure=1950: Sains=1558, Malades=1205, Morts=237, Moy deplacement=0.102, Moy infection=0.078, Moy mort=0.030, Prop confinement=1.000

Heure=2100: Sains=1625, Malades=1120, Morts=255, Moy deplacement=0.102, Moy infection=0.067, Moy mort=0.028, Prop confinement=1.000

